Issue ID,Summary,Issue Type,Description,Priority,Status,Epic Name,Epic Link,Start Date,Due Date
1,Setup & Core Ecosystem Ingestion Pipeline,Epic,"Initial setup of the India Startup Ecosystem Intelligence Platform, SQLite DB schema, ingestion pipeline (scraping, cleaning, entity resolution, AI enrichment), exporter script, FastAPI routing, and basic React cyberpunk dark-mode interface.",High,Done,Ecosystem Ingestion Pipeline,,2026-06-26,2026-06-26
2,Setup Backend Framework & SQLite Database,Task,"Initialize backend framework using FastAPI, define sqlite database schemas for startups, incubators, mentors, investors, relationships, and execution logs in database.py, and setup run.py configuration.",High,Done,,Ecosystem Ingestion Pipeline,2026-06-26,2026-06-26
3,Implement Crawler & Data Cleaning Pipeline,Task,"Implement simulated crawler scraper.py to load initial raw data, and cleaner.py normalization rules for cleaning/standardizing state codes, city names, emails, and URLs.",High,Done,,Ecosystem Ingestion Pipeline,2026-06-26,2026-06-26
4,Build Entity Resolution (Deduplication) Engine,Task,"Develop entity resolution pipeline in resolution.py utilizing Jaccard string similarity, acronym matching, and short-name rules to merge duplicate startup and incubator records.",High,Done,,Ecosystem Ingestion Pipeline,2026-06-26,2026-06-26
5,Integrate AI Enrichment (Gemini API & Geocoding),Task,"Implement enricher.py integrating Google Gemini API for automated sector mapping, semantic summarization, and local lookup table matching for city coordinates geocoding.",Medium,Done,,Ecosystem Ingestion Pipeline,2026-06-26,2026-06-26
6,Implement Multi-Format Graph Exporters,Task,"Develop exporter module graph.py supporting output of parsed data as a zipped CSV archive, hierarchical JSON, MongoDB insertions, or Neo4j Cypher scripts.",Medium,Done,,Ecosystem Ingestion Pipeline,2026-06-26,2026-06-26
7,Develop Core REST APIs,Task,"Build FastAPI endpoints in main.py for pipeline run execution (/api/pipeline/run), pipeline logging (/api/pipeline/logs), database reset, directories (/api/incubators, /api/startups), and export file streaming.",High,Done,,Ecosystem Ingestion Pipeline,2026-06-26,2026-06-26
8,Initialize React Frontend Scaffold & Sidebar,Task,"Setup Vite + React web client, configure Tailwind CSS v4 and vanilla glassmorphism styles in index.css, and build sidebar dashboard shell App.jsx.",High,Done,,Ecosystem Ingestion Pipeline,2026-06-26,2026-06-26
9,Build Pipeline Control UI Panel,Task,"Create PipelineControl.jsx component showing pipeline stage execution buttons (scrape, clean, resolve, enrich) with interactive terminal log stream outputs.",Medium,Done,,Ecosystem Ingestion Pipeline,2026-06-26,2026-06-26
10,Build Directory Grid & Details Drawer UI,Task,"Develop DirectoryView.jsx grid showing startups/incubators with query search, sector/stage/region filters, and detailed profile slide-out drawer.",High,Done,,Ecosystem Ingestion Pipeline,2026-06-26,2026-06-26
11,Build Analytics & Metrics Dashboard UI,Task,"Develop AnalyticsDashboard.jsx UI compiling total counts, state map distributions, focus sectors, stage-wise graphs, and SVGs/CSS chart components.",Medium,Done,,Ecosystem Ingestion Pipeline,2026-06-26,2026-06-26
12,Build Force-Directed Network Graph Visualizer,Task,"Create GraphVisualizer.jsx rendering zoomable, draggable 2D canvas force-directed nodes showing linkages between incubators, startups, and mentors.",High,Done,,Ecosystem Ingestion Pipeline,2026-06-26,2026-06-26
13,Build Exporter and AI Assistant Panels,Task,"Develop ExporterPanel.jsx UI for downloading exports, and AiAssistant.jsx chatbot interface that interacts with FastAPI backend assistant API.",Low,Done,,Ecosystem Ingestion Pipeline,2026-06-26,2026-06-26
14,Build MOU Generator & Opportunity Finder UIs,Task,"Implement MouGenerator.jsx step-by-step drafting form with download options, and OpportunityFinder.jsx recommendation cards connecting startups to matching programs.",Medium,Done,,Ecosystem Ingestion Pipeline,2026-06-26,2026-06-26
15,Setup Outreach Automation Base,Task,"Create OutreachAutomation.jsx, supporting Google OAuth flow authorization, Gmail/Calendar client integration parameters, email trigger, and IMAP reply-checking background loops.",High,Done,,Ecosystem Ingestion Pipeline,2026-06-26,2026-06-26
16,MongoDB Core Integration & UI Enhancements,Epic,"Integrate MongoDB persistence into the database layer, build query adapter wrappers, support database fallbacks, and optimize individual UI views.",Medium,Done,Enterprise Database Integration,,2026-06-27,2026-06-30
17,Implement MongoDB Connections in Database Layer,Task,Integrate pymongo client into database.py with connection routines get_mongo_client and get_mongo_db.,High,Done,,Enterprise Database Integration,2026-06-27,2026-06-30
18,Build SQL-to-Mongo Query Parsers and Adapters,Task,"Create query parse_where_clause and helper classes in database.py to map SQL conditions into MongoDB filters, enabling abstract query operations across database engines.",High,Done,,Enterprise Database Integration,2026-06-27,2026-06-30
19,Refine Outreach Email Reply Sanitizer,Task,Implement clean_email_reply in main.py to scrub header/quote garbage from incoming email replies before processing sentiment details.,Medium,Done,,Enterprise Database Integration,2026-06-27,2026-06-30
20,Apply Frontend Refinements and Core View Optimization,Task,"Update React components (DirectoryView, MouGenerator, OpportunityFinder, OutreachAutomation) with bugfixes, CSS adjustments, and minor visual optimizations.",Low,Done,,Enterprise Database Integration,2026-06-27,2026-06-30
21,Automated Follow-up Campaigns,Epic,"Design and implement automated multi-stage follow-up email campaigns, checking logs and exclusions, and providing triggers in the Outreach dashboard.",High,Done,Automated Follow-up Campaigns,,2026-07-01,2026-07-10
22,Build Backend Multi-Stage Follow-up Campaign Logic,Task,"Implement send_followup_email and check_and_send_followups_sync in main.py to check status, verify elapsed days since last contact, skip replied leads, and send appropriate template emails.",High,Done,,Automated Follow-up Campaigns,2026-07-01,2026-07-10
23,Develop Follow-up Trigger and Bulk APIs,Task,"Implement FastAPI endpoints /api/outreach/send-followups for background loop triggers, and /api/outreach/send-followup-single for specific lead execution.",High,Done,,Automated Follow-up Campaigns,2026-07-01,2026-07-10
24,Update Outreach Automation UI with Follow-up Controls,Task,"Modify OutreachAutomation.jsx with campaign triggers, follow-up statuses, and log displays for follow-up mailings.",Medium,Done,,Automated Follow-up Campaigns,2026-07-01,2026-07-10
25,PII Field-Level Encryption & Startup Cohort Evaluator,Epic,"Develop secure startup application evaluation, symmetric AES field-level PII encryption, duplicate cosine similarity matrix engine, cohort uploader UI, and detail drawer integrations.",High,Done,PII Encryption & Cohort Evaluator,,2026-07-11,2026-07-12
26,Implement Symmetric PII Field-Level Cryptography,Task,"Develop encrypt_val and decrypt_val methods in evaluator.py using AES-256 Fernet symmetric cryptography to protect name, email, mobile, DOB, and address fields in Mongo.",High,Done,,PII Encryption & Cohort Evaluator,2026-07-11,2026-07-12
27,Build Cohort Data Ingestion & Parser,Task,"Develop Excel cohort loader in evaluator.py mapping dynamic spreadsheet headers, cleaning revenue string formats, parsing team sizes, and verifying DPIIT numbers.",High,Done,,PII Encryption & Cohort Evaluator,2026-07-11,2026-07-12
28,Develop Objective Scoring Rule Engine,Task,"Implement evaluate_rules in evaluator.py calculating score parameters (Revenue 10pts, Stage 10pts, DPIIT 5pts, Team 5pts, Web 5pts, Presentation 5pts) for a maximum of 40 raw points.",High,Done,,PII Encryption & Cohort Evaluator,2026-07-11,2026-07-12
29,Build Pairwise TF-IDF Duplicate Detection Engine,Task,"Create compute_similarity_matrix in evaluator.py to calculate TF-IDF vector matrices and pairwise cosine similarity, flagging duplicate submissions matching above 40% and 80%.",High,Done,,PII Encryption & Cohort Evaluator,2026-07-11,2026-07-12
30,Develop Cohort Evaluation FastAPI Controllers,Task,"Build FastAPI endpoints in main.py for Excel ingestion (/api/incubein/upload), list retrieval decrypting on-the-fly (/api/incubein/applications), deletion, and bulk directory/campaign import APIs.",High,Done,,PII Encryption & Cohort Evaluator,2026-07-11,2026-07-12
31,Create Drag-and-Drop Cohort Uploader Component,Task,"Build CohortEvaluator.jsx layout supporting drag-and-drop Excel files, processing pipeline telemetry, and highlighting high-similarity duplicate flag pairs.",High,Done,,PII Encryption & Cohort Evaluator,2026-07-11,2026-07-12
32,Create Cohort Startup Details Drawer,Task,"Develop StartupsDirectory.jsx component exhibiting decrypted contact details, rule-based breakdowns, AI summary notes, duplicate tags, and cohort sorting.",High,Done,,PII Encryption & Cohort Evaluator,2026-07-11,2026-07-12
33,"Update Global Sidebar, Router, and Design Styles",Task,"Integrate cohort evaluation tabs, styles, and utilities across main application layouts App.jsx, App.css, index.css, and navigation sidebar.",Medium,Done,,PII Encryption & Cohort Evaluator,2026-07-11,2026-07-12
